,AML-GZMB CD8 T ,AML-GZMK CD8 T ,AML-MAIT,AML-NK,AML-Naïve CD4 T ,AML-Naïve CD8 T ,AML-T reg,Effector memory CD8 T,GZMB CD8 T ,GZMB DN T,GZMB NK,GZMK CD8 T ,GZMK NK,MAIT,Naïve CD4 T,Naïve CD8 T ,T reg
100,CD81,TOX,PDIA3,RNF213,PCED1B-AS1,MCUB,LIMS1,H3F3B,SPN,VCL,MCTP2,MFSD10,CTSD,CNBP,PIM2,RSL1D1,RGCC
101,CAPN2,PMAIP1,CCL4,ITGAM,STK17B,MTRNR2L12,FAS,BCLAF1,SYNE1,BHLHE40,PREX1,NR4A2,IL18RAP,GPR65,APRT,ACTB,EEF1G
102,SSBP4,PTGER4,DNAJC1,C12orf75,CD3G,HSPA8,ARHGDIA,PITPNC1,UBC,TPST2,LPCAT1,RAC1,ARPC5L,AC068587.4,CD3G,SLC25A5,VAMP8
103,PYHIN1,RNF213,GZMM,PREX1,CHMP7,STK17B,ATP2B1,KLRG1,C1orf21,XBP1,CFL1,AHNAK,IQGAP1,PLCB1,MAML2,LIMD2,OPTN
104,GNG2,MFSD10,ADGRE5,JAK1,RASGRP2,LBH,SEC61B,MAPRE2,YWHAB,ALOX5AP,LAT2,STOM,NCR1,ADRB2,CD37,SIRPG,EIF1
105,ZNF683,AOAH,LDHA,LSP1,NSA2,EEF1D,SYNE2,TRDV1,PPP1CA,APOBEC3G,GNG2,UBB,ADAM8,IGKV3-11,RASGRP2,SNHG8,CD28
106,FCGR3A,CD3D,PPP2R5C,CAST,SAMHD1,SATB1,ARF1,LEF1,UCP2,PPDPF,AUTS2,XCL1,SAMD3,CERK,SOD1,EIF1,EEF2
107,DNAJC1,SLAMF6,GNG2,SAMD3,C12orf57,TTC3,MDFIC,CD69,MYO1G,ADRB2,NCR3,FTH1,DNAJC1,PTGER2,MLLT3,LAT,UBC
108,ADGRE5,GZMH,EIF4A1,UBE2F,EIF3H,RSL1D1,PFKL,FUT7,CD2,SYNE1,SH2D2A,CRTAM,PLEK,IGLV3-19,RETREG1,ATM,CTSB
109,ABI3,UBB,GPRIN3,IRF1,SEPTIN6,SERINC5,NPDC1,SRGN,RASSF1,TRGC1,STK10,PLAAT3,MACF1,NSG1,PRKCA,DNAJB1,EEF1D
110,ID2,CCNL1,HSP90AA1,IGF2R,PLSCR3,DOCK10,ZFAS1,HSPE1,H3F3A,TGFB1,OSTF1,NIN,DOK2,IL18RAP,ITGA6,CCNI,APRT
111,LAG3,APOBEC3G,HLA-DPB1,ARPC2,MAML2,SELENOH,CRIP2,IFITM1,YWHAQ,CCL4L2,FYN,AOAH,LYN,PNRC1,ST13,JUND,SEC61B
112,LY6E,SAMD3,UBE2L6,LAT2,PDK1,CHCHD10,TOMM7,TRAF5,LAIR2,ABI3,MAP3K8,COTL1,LCP1,PLXND1,FOXO1,NSA2,BIRC3
113,C1orf21,SHISA5,GIMAP4,TNFRSF1B,ST13,HSPB1,ICOS,PSME1,TAGLN2,SYTL2,ARHGAP9,DRAP1,NT5C,CYBA,CCNI,TOB1,CAPN2
114,ANXA6,CTSW,SYNE1,MAPK1,INPP4B,CHD2,TUBA1A,PNISR,BSG,ID2,NFATC2,REEP5,UTRN,CD40LG,TSHZ2,PTMA,PPP1R14B
115,ADRB2,GBP5,P2RY8,ITGAX,SLC25A6,ST13,PPP2R5C,SEMA4D,CD81,CAST,CHST12,LINC02084,XBP1,XBP1,AQP3,PCBP2,CCDC107
116,ARL6IP5,PSTPIP1,AC253572.2,LYN,SEPTIN9,CD48,PRDX1,MYL6,MYL12A,CCDC107,CMC1,C12orf75,ZFP36L2,APRT,IKZF1,FTL,SERP1
117,PTP4A2,TRMT112,EML4,CTBP2,LUC7L3,CD3G,SLAMF1,RAC2,ANXA6,ACTB,CAST,ARHGDIA,IGFBP4,NME2,PLCL1,LAPTM5,GNB2
118,LAIR2,OAZ1,ARF1,C1orf21,ZFAS1,NAP1L1,DUSP5,FXYD2,ID2,S1PR5,ZBTB16,ITGB2,SIPA1,CTSC,ADTRP,ANP32B,FXYD7
119,ITGB7,ARL6IP1,TRAV1-2,KIR2DL3,NDFIP1,NAA16,HSPA8,RCSD1,ASCL2,RHOA,DDIT4,FABP5,RIN3,LYZ,HNRNPDL,MAL,S1PR4
120,RASSF1,AC020916.1,TNFRSF25,CXXC5,N4BP2L2,FCMR,ARPC1B,AC044849.1,APOBEC3G,HSP90AA1,ADAM8,TSPYL2,BTG1,DNAJC1,COL18A1,ZYX,EIF3F
121,ARRB2,MBP,CD3D,IFITM1,ANP32B,AC008105.3,YWHAZ,RAB37,PRKCB,ASCL2,LYN,PNRC1,TGFB1,STOM,ALKBH7,SLC25A3,CIB1
122,HCST,CKLF,PYHIN1,ARL4C,RSL1D1,TTN,CYLD,ITGA4,DBI,UCP2,PYHIN1,IGKV3-11,NR4A2,TNFSF12,CHMP7,SNHG32,TRAT1
123,UBB,PTPN22,CANX,SH2D2A,GIMAP4,ARHGAP45,PIM3,CLDND1,ITGAL,PSMA7,RUNX3,MAP3K8,CD38,MTPN,PCED1B-AS1,SNRPD2,CRTAP
124,CD3D,GSTP1,TNF,TXK,EIF4A2,SNHG5,AC020916.1,IGHM,FGR,PPIB,CCL3,SRSF7,CBLB,MICAL2,RSL1D1,SELL,YWHAH
125,IKZF3,LCK,MYL6,NFATC2,PSIP1,TMEM243,PLK3,PTPN6,TXNIP,KLRK1,ADGRE5,PTTG1,CD244,TRGV9,TGFBR2,UQCRB,TNIP1
