,0
1430,LGMN
1431,IFI27
1432,SERPINA1
1433,CLMN
1434,AL133467.1
1435,TCL6
1436,TCL1A
1437,AL139020.1
1438,AL163051.1
1439,LINC01550
1440,BCL11B
1441,CYP46A1
1442,AL132709.8
1443,AL118558.3
1444,MOK
1445,ANKRD9
1446,AMN
1447,CDC42BPB
1448,ZBTB42
1449,GPR132
1450,CRIP2
1451,IGHA2
1452,IGHG4
1453,IGHG2
1454,IGHA1
1455,IGHG1
1456,IGHG3
1457,IGHV6-1
1458,IGHV1-2
1459,IGHV3-7
1460,IGHV3-23
1461,IGHV3-30
1462,IGHV3-33
1463,IGHV4-34
1464,IGHV5-51
1465,IGHV1-58
1466,IGHV4-59
1467,IGHV5-78
1468,NIPA1
1469,ATP10A
1470,GOLGA8M
1471,APBA2
1472,LINC02249
1473,AC127502.2
1474,MTMR10
1475,AC012236.1
1476,GOLGA8O
1477,GOLGA8N
1478,RYR3
1479,RASGRP1
1480,THBS1
1481,BMF
1482,KNSTRN
1483,CHAC1
1484,ITPKA
1485,LTK
1486,CAPN3
1487,EPB42
1488,TGM5
1489,LCMT2
1490,ADAL
1491,ELL3
1492,PATL2
1493,SPATA5L1
1494,AP4E1
1495,TEX9
1496,LINC00926
1497,AQP9
1498,RORA-AS1
1499,RORA
1500,TLN2
1501,DAPK2
1502,SNX22
1503,RBPMS2
1504,PIF1
1505,AC103691.1
1506,CALML4
1507,CORO2B
1508,SPESP1
1509,TMEM202-AS1
1510,BBS4
1511,ADPGK-AS1
1512,NEO1
1513,CD276
1514,STOML1
1515,SEMA7A
1516,AC100835.2
1517,SCAMP5
1518,NEIL1
1519,NRG4
1520,ACSBG1
1521,DNAJA4
1522,CRABP1
1523,CTSH
1524,CEMIP
1525,STARD5
1526,TMC3-AS1
1527,TM6SF1
1528,PDE8A
1529,DET1
1530,HAPLN3
1531,ZNF710
1532,SEMA4B
1533,AC124248.1
1534,WASIR2
1535,RHBDF1
1536,NHLRC4
1537,FBXL16
1538,MSLN
1539,TPSB2
1540,TPSAB1
1541,TPSD1
1542,PTX4
1543,IFT140
1544,TMEM204
1545,AL031710.1
1546,EME2
1547,CCNF
1548,ZG16B
1549,KREMEN2
1550,MMP25
1551,IL32
1552,AC108134.3
1553,MEFV
1554,ZSCAN32
1555,SLX4
1556,ADCY9
1557,EMP2
1558,AC099489.1
1559,SNN
1560,AC010654.1
1561,AC007216.4
1562,TNFRSF17
1563,NOMO1
1564,NPIPA1
1565,MPV17L
1566,MYH11
1567,ABCC6
1568,NOMO2
1569,ITPRIPL2
1570,SYT17
1571,AC130456.3
1572,IGSF6
1573,NPIPB4
1574,USP31
1575,SCNN1B
1576,AC008915.2
1577,PALB2
1578,PLK1
1579,LINC02175
1580,IL4R
1581,IL21R
1582,KIAA0556
1583,SBK1
1584,AC145285.6
1585,CD19
1586,LAT
1587,BOLA2
1588,AC009133.3
1589,AC012645.3
1590,BOLA2B
1591,SLX1A
1592,ZNF764
1593,FBXL19
1594,HSD3B7
1595,ITGAM
1596,ITGAX
1597,TGFB1I1
1598,AHSP
1599,SHCBP1
1600,NETO2
1601,NOD2
1602,AKTIP
1603,IRX3
1604,CRNDE
1605,IRX6
1606,CES1
1607,MT1F
1608,MT1X
1609,SLC12A3
1610,CETP
1611,ADGRG5
1612,ADGRG3
1613,TK2
1614,CMTM2
1615,FBXL8
1616,ELMO3
1617,TPPP3
1618,ZDHHC1
1619,AC009061.2
1620,AC027682.2
1621,DPEP3
1622,DUS2
1623,SMPD3
1624,CDH1
1625,TANGO6
1626,SNTB2
1627,NQO1
1628,MTSS2
1629,ZNF23
1630,PHLPP2
1631,ATXN1L
1632,ZNF821
1633,HP
1634,ZFP1
1635,ADAT1
1636,VAT1L
1637,MAF
1638,HSDL1
1639,WFDC1
1640,CRISPLD2
1641,KIAA0513
1642,FAM92B
1643,LINC02132
1644,C16orf95
