subset,gene,logFC,pct_AML,pct_HBM
GZMB NK,BSDC1,0.03598684,0.10779816513761468,0.08244994110718493
GZMB NK,ZBTB8OS,0.06662971,0.11467889908256881,0.06949352179034157
GZMB NK,RBBP4,0.025428116,0.30504587155963303,0.270906949352179
GZMB NK,SYNC,-0.0054802,0.11009174311926606,0.09658421672555949
GZMB NK,YARS,0.013414323,0.19495412844036697,0.18374558303886926
GZMB NK,S100PBP,-0.046355262,0.10091743119266056,0.11425206124852769
GZMB NK,AK2,-0.025517657,0.08944954128440367,0.09305064782096584
GZMB NK,ZNF362,-0.022418998,0.05045871559633028,0.05889281507656066
GZMB NK,PHC2,0.005890414,0.07568807339449542,0.06595995288574794
GZMB NK,SMIM12,0.053847343,0.1444954128440367,0.10129564193168433
GZMB NK,TMEM35B,-0.040209413,0.14220183486238533,0.15076560659599528
GZMB NK,ZMYM6,0.015855,0.045871559633027525,0.03769140164899882
GZMB NK,ZMYM1,-0.009090535,0.03669724770642202,0.03415783274440518
GZMB NK,SFPQ,-0.01747346,0.5137614678899083,0.5005889281507656
GZMB NK,ZMYM4,0.021540552,0.08256880733944955,0.06595995288574794
GZMB NK,KIAA0319L,0.03703469,0.09862385321100918,0.07656065959952886
GZMB NK,NCDN,0.021300819,0.020642201834862386,0.008244994110718492
GZMB NK,AC004865.2,-0.15270169,0.06192660550458716,0.13427561837455831
GZMB NK,PSMB2,0.00737682,0.16743119266055045,0.15665488810365136
GZMB NK,AGO4,-0.01532726,0.07339449541284404,0.07538280329799764
GZMB NK,AGO3,0.03628443,0.10779816513761468,0.0800942285041225
GZMB NK,ADPRHL2,-0.01226037,0.04128440366972477,0.04711425206124853
GZMB NK,TRAPPC3,0.035185024,0.14678899082568808,0.11189634864546526
GZMB NK,MAP7D1,-0.070972025,0.2545871559633027,0.2756183745583039
GZMB NK,THRAP3,0.031040847,0.33256880733944955,0.2968197879858657
GZMB NK,STK40,0.026003376,0.10779816513761468,0.0895170789163722
GZMB NK,LSM10,0.0070098937,0.16743119266055045,0.15429917550058891
GZMB NK,MRPS15,-0.001439169,0.12385321100917432,0.11425206124852769
GZMB NK,ZC3H12A,0.0996006,0.11926605504587157,0.06831566548881036
GZMB NK,MEAF6,0.037961155,0.23394495412844038,0.1955241460541814
GZMB NK,SNIP1,0.024589092,0.07339449541284404,0.05535924617196702
GZMB NK,GNL2,0.018054582,0.07339449541284404,0.05889281507656066
GZMB NK,YRDC,0.020620733,0.09174311926605505,0.07420494699646643
GZMB NK,C1orf122,-0.029349715,0.10321100917431193,0.11189634864546526
GZMB NK,MTF1,-0.02591218,0.034403669724770644,0.043580683156654886
GZMB NK,INPP5B,-0.023494944,0.052752293577981654,0.061248527679623084
GZMB NK,SF3A3,0.033161685,0.12844036697247707,0.0989399293286219
GZMB NK,FHL3,-0.1590062,0.11926605504587157,0.1896348645465253
GZMB NK,UTP11,0.010399155,0.045871559633027525,0.03415783274440518
GZMB NK,RRAGC,-0.0067400187,0.05733944954128441,0.05182567726737338
GZMB NK,MYCBP,0.02269388,0.06192660550458716,0.045936395759717315
GZMB NK,AKIRIN1,-0.04219067,0.13302752293577982,0.143698468786808
