Mixture,Naïve CD4 T,Memory CD4 T,Treg,Naïve CD8 T,Memory CD8 T,GZMK CD8 T,GZMB CD8 T,GZMB DNT,MAIT,GZMK NK,GZMB NK,Proliferating T,P-value,Correlation,RMSE
TARGET.20.PAVKEM.09A,0.0853261192889399,7.67501062156618e-05,0.0825160107953731,0.126421083260532,0.113674885416059,0.170062462778769,0.0315564397236529,0.0917605999649733,0.0932903496243512,0.042339563448089,0.0788925973675967,0.0840831382254477,0,0.743366199576765,0.724769599897323
TARGET.20.PARIEG.09A,0.0287921803945613,0.0713885667487851,0.145347983212395,0.11197416930771,0.122021449690278,0.12367893837427,0,0.0526218268276519,0.124523261058961,0.0981592803542455,0.0800335474449174,0.041458796586225,0,0.716968425935983,0.759285569739802
TARGET.20.PAUNLX.09A,0.0522259605465117,0.0807490055622981,0.11161825359133,0.10559414305449,0.145873371185491,0.159922608491357,0,0.0641313991596188,0.0733216201431088,0.0710425106738533,0.0895282480658565,0.0459928795260847,0,0.658084570617939,0.781084230694981
TARGET.20.PATEMK.09A,0.0797888707043198,0.119550634852573,0.0943610634507642,0.098957762404768,0.0676115637995784,0.149492246274264,0,0.149123584892641,0.026982467911001,0.0925769493434973,0.0484485200139207,0.0731063363526721,0,0.751308666300169,0.727826352296533
TARGET.20.PAWCJK.09A,0.0705530947226103,0.0572791271004843,0.105542791661854,0.106620639651318,0.0761376687499525,0.131585581267601,0.0331450196067733,0.0837870525128954,0.0868971750585764,0.0653341792726258,0.106316738579857,0.0768009318154521,0,0.750625858676481,0.733478211427693
TARGET.20.PAWMKP.09A,0.0303144970270102,0.08827426468787,0.112318538299374,0.103956746324708,0.0790107159072515,0.154496668316168,0.0149528545075213,0.0658647052231464,0.103943998881267,0.0474462342610348,0.0655205287068944,0.133900247857754,0,0.745851255371802,0.733712272500855
TARGET.20.PATEEA.09A,0.0719340556140805,0.0524020415809034,0.0907464158312706,0.110226673461127,0.0868505762044006,0.187460712439571,0,0.102644998575387,0.0610289926487898,0.0533968585519163,0.0714479105089974,0.111860764583557,0,0.751771985574332,0.714756034870021
TARGET.20.PATBYV.09A,0.0533299763666786,0.137774018018039,0.0568679544219711,0.0612929112024997,0.121139654096383,0.147677233606693,0.0474641702408467,0.0834440931610162,0.132461624709377,0.0875588648937544,0.0133535422201807,0.0576359570625606,0,0.689573213141061,0.770953316871709
TARGET.20.PARTAL.09A,0.0509841777682162,0.145878011759765,0.0699460414298791,0.0724726590530892,0.0983674885422027,0.171299647101157,0.0200070626175059,0.0890223897537166,0.0961789220065163,0.0557558013522619,0.0562295937478668,0.0738582048678234,0,0.685621843333679,0.765444722706709
TARGET.21.PASFJJ.09A,0.0414102888871775,0,0.112063094846982,0.286615633730536,0.0257095319951146,0.0900763811915881,0.156014934377008,0,0.0291072307750187,0.0422692829349493,0.0207123211647027,0.196021300096923,0,0.441342984847543,0.897103209847605
TARGET.20.PASXAP.09A,0.0265800411855142,0.161439186554461,0.0661112503903962,0.0742046918066034,0.145960720061778,0.141789290479997,0,0.0892607525748299,0.132617538172257,0.0602167037546155,0.0457061050184949,0.0561137200010531,0,0.705489675668485,0.762256354558638
TARGET.20.PACDZR.09A,0.0581341778005723,0,0.170341826809915,0.110644944361358,0.107835897245902,0.179400447992661,0,0.0493288970945851,0.104716615487749,0.088354253630146,0.0514001080508392,0.0798428315262712,0,0.726725223117055,0.736072842176273
TARGET.20.PAUZTM.09A,0.084265746942647,0,0.143767181241263,0.131679143783123,0.058740971896561,0.125560903860987,0.0304994225659087,0.0707610116606238,0.069903932164623,0.0558839917434101,0.164186776382837,0.0647509177580159,0,0.641022386660593,0.789103918674517
TARGET.20.PAEERJ.09A,0.0829699591598503,0.106923320912882,0.123167214243319,0.0761045464051485,0.0956728661701526,0.108625316024773,0,0.10810150663846,0.0485324972568161,0.0923105893574804,0.0684488043997745,0.0891433794313431,0,0.753731870418846,0.742181358587969
TARGET.20.PARSGS.09A,0.0763501324783429,0.0602429447350728,0.105432378864447,0.124159500992626,0.0993542116895308,0,0.0671793609945706,0.0425101228739286,0.132744587280381,0.0885895494104884,0.114515649800778,0.0889215608798329,0,0.644054703423537,0.809890606445969
TARGET.20.PARHJA.09A,0.104617446851779,0.0544790255932874,0.0616339401627655,0.0709951189441914,0.0999879606336712,0.17779962787273,0,0.0899502249404874,0.115634042365159,0.0346658987847408,0.0610291143426726,0.129207599508515,0,0.795247062512403,0.69137911669137
TARGET.20.PAXALR.09A,0.0930349330782395,0.089624055503378,0.0823094824535829,0.176223196562157,0.0654617741992813,0,0.027470799123955,0.0550386795181183,0.118149938649337,0.0742249666377659,0.119171921000606,0.0992902532735788,0,0.626559330728034,0.817874425148564
TARGET.20.PASKFW.09A,0.0522501136407153,0.0490274067670451,0.090686659501907,0.186334983582878,0.100337074277551,0.155492071619135,0,0.127697792068456,0.0386475425012155,0.0414215237239482,0.0424459179142704,0.115658914402878,0,0.624148769531303,0.799912299733536
TARGET.20.PAVVAT.09A,0.0525765509923912,0.0275789185154212,0.151706195286457,0.0942927902165756,0.0794172292073469,0.155395200140732,0,0.0391138267249035,0.186863262632326,0.0608909885281521,0.106473415560317,0.0456916221953781,0,0.589249576252558,0.821095352950577
TARGET.20.PATBXU.09A,0.0112580361566228,0.179868818347205,0.0409376976042789,0.0670019906585976,0.0763593549972323,0.166618180983634,0.0750077743619259,0.0969914092743041,0.110072612546366,0.0606385097893761,0.0388969713947273,0.0763486438857303,0,0.643169804638878,0.788895947982861
TARGET.20.PAWJDM.09A,0.0935331788703897,0.0345636417504083,0.0999781240032472,0.103224872856634,0.0575945258797835,0.165879390230756,0.0243305364717834,0.0788093883432946,0.0974107675463471,0.0652368068871681,0.104320767789217,0.0751179993709725,0,0.801054424992553,0.68972165177779
TARGET.20.PASANW.09A,0.0620459929047115,0.148979913795425,0.100182371835166,0.0500808263573694,0.110838997185522,0.112457240384419,0.0183645502867472,0.0826630481589394,0.106180038592976,0.0935476495642695,0.0678876895635952,0.0467716813708618,0,0.713060807400431,0.764955318867658
TARGET.20.PANLXK.09A,0.0488054461633366,0.117961687529207,0.0505190671519958,0.110874353444543,0.139564024093678,0.144246686492992,0,0.118458064413699,0.0360343634484353,0.0828980352453413,0.0501058063515433,0.100532465665228,0,0.701686503401875,0.75864692256606
TARGET.20.PAWWYV.09A,0.0970118564867958,0.0267745238619912,0.150491569169726,0.0874816886847189,0.100335090027054,0.0693635183001774,0,0.104630756335507,0.137683162470041,0.0532528521787434,0.104195031990256,0.0687799504949902,0,0.663748581615401,0.797015696701006
TARGET.20.PASKNV.09A,0.0377429751219245,0.174891617126982,0.06002106697965,0.0486305356654117,0.102982269505981,0.157387412944599,0.0144315943346454,0.0911846762044899,0.119884698438994,0.0799146447175934,0.0382807273204993,0.0746477816392307,0,0.650138799460388,0.788784227983125
TARGET.20.PAWKMU.09A,0.0952575056821036,0,0.133523291853653,0.113259557243166,0.0789624222863885,0.152117845302444,0.00737788460350538,0.0929564126125146,0.0991886994948413,0.0547890397832172,0.0921800080364027,0.0803873331017637,0,0.780043258122702,0.708774153361805
TARGET.20.PAXJFL.09A,0.104727535882512,0.0528033784146743,0.139429110642637,0.0561840656784196,0.0779508227384782,0.133127938486438,0.0040045028765602,0.0893682028228684,0.132298740883882,0.0445603475665153,0.081264053544584,0.0842813004624296,0,0.745580670194663,0.741770925620433
TARGET.20.PAXLBH.09A,0.0748289844013321,0.011728684125509,0.085261970983981,0.129577619556386,0.0957053801280907,0.200060705225752,0.0604849940077345,0.0632827295858836,0.0634852830849598,0.0473304406278612,0.0727429807156938,0.0955102275568159,0,0.786088746640863,0.685210198023849
TARGET.20.PAVCVD.09A,0.0586960169105328,0.0725471047494615,0.10485117936544,0.14458393560371,0.0642087873320769,0.0986171833757457,0.030149183262535,0.0705254723718569,0.108419067467655,0.0888109041670886,0.096948667359733,0.0616424980341653,0,0.641006346246684,0.803502092586964
TARGET.20.PAYKXV.Sorted.CD34pos.09A,0.0158315210759144,0.180181687686108,0.078949246785788,0.162428827992777,0.142951038321506,0,0.0974867497229583,0.00793611980030341,0.103138388539372,0.0770341876691893,0.0727832132138704,0.0612790191922131,0,0.640246544714718,0.817908175071052
