"term","NES","padj","size"
"positive regulation of dna biosynthetic process",1.54272994401571,0.0661471797110592,29
"regulation of dna templated transcription initiation",1.44702087717343,0.0661471797110592,66
"type ii interferon mediated signaling pathway",1.56348118336239,0.0661471797110592,20
"negative regulation of canonical nf kappab signal transduction",1.46453940865786,0.0663052891385261,55
"negative regulation of interleukin 1 beta production",1.61508383474829,0.0663542235604944,14
"protein folding in endoplasmic reticulum",1.63389728823588,0.0663542235604944,11
"regulation of alpha beta t cell activation",1.41320258713969,0.0671737184806444,78
"regulation of defense response to virus",1.48634030783639,0.0681574489194985,44
"positive regulation of non canonical nf kappab signal transduction",1.49784117178372,0.0688225165078162,32
"negative regulation of smooth muscle cell proliferation",1.60609683830641,0.0695085586642147,15
"regulation of hemopoiesis",1.26059581455595,0.0695784232047213,232
"vascular endothelial cell proliferation",1.62586108988538,0.0706064576515038,11
"regulation of endothelial cell migration",1.41084287190818,0.0707232063109643,71
"rna export from nucleus",1.40476996048654,0.0707232063109643,79
"positive regulation of rna splicing",1.49250825178045,0.0707632780105315,35
"negative regulation of response to external stimulus",1.29648100261734,0.0709563688603334,170
"blood vessel endothelial cell migration",1.45893676430894,0.071073271586583,55
"viral gene expression",1.37410366809491,0.0714686214858025,92
"regulation of dna damage response signal transduction by p53 class mediator",1.52567112321542,0.0721200533096429,24
"inflammasome mediated signaling pathway",1.4938902301173,0.0722886882542021,32
"response to nitrogen compound",1.18571895534264,0.0722886882542021,496
"response to topologically incorrect protein",1.33654845141129,0.072883051770302,115
"telomere maintenance via telomere lengthening",1.43226351227305,0.0738423480004895,57
"cd4 positive alpha beta t cell activation",1.37436171948051,0.0742083551526783,85
"atp metabolic process",1.28375160136867,0.0746428345474024,150
"regulation of cellular response to heat",1.59802712590669,0.0754851107133371,15
"establishment of protein localization to organelle",1.2116182786281,0.0766163971176407,326
"t cell activation involved in immune response",1.38195989863412,0.0773397396633498,75
"positive regulation of cd4 positive alpha beta t cell differentiation",1.54753278115528,0.0804121263877298,23
"positive regulation of vascular associated smooth muscle cell proliferation",1.55812496496909,0.0812333554745078,19
"chemokine production",1.48195624567215,0.0829338036518047,36
"positive regulation of erythrocyte differentiation",1.51212127410853,0.0829338036518047,24
"regulation of transferase activity",1.27172394026155,0.0829338036518047,174
"response to growth factor",1.22125800415984,0.0829338036518047,286
"positive regulation of plasma membrane bounded cell projection assembly",1.41773517918323,0.0830863717479691,57
"dna templated transcription initiation",1.28805764043556,0.0836511394653823,163
"hematopoietic progenitor cell differentiation",1.42637780578447,0.0836511394653823,72
"telomere organization",1.30982243036087,0.0836511394653823,127
"negative regulation of chemotaxis",1.58534357963474,0.0838793406708562,15
"ribosome assembly",1.46911618086194,0.0838793406708562,40
"tissue migration",1.46069312616383,0.0838793406708562,39
"nucleobase containing compound transport",1.29300590769364,0.0840205786346513,164
"de novo protein folding",1.47691722702277,0.0841279014626193,27
"mrna splice site recognition",1.50836654521544,0.0841279014626193,24
"positive regulation of alpha beta t cell differentiation",1.48730352556628,0.0846856001106394,37
"regulation of cell substrate adhesion",1.36801041156144,0.0847132839020888,85
"integrated stress response signaling",1.43315680919355,0.0850548240273348,38
"positive regulation of mirna metabolic process",1.48857207600312,0.0850548240273348,34
"positive regulation of substrate adhesion dependent cell spreading",1.50624311958021,0.0850548240273348,22
"regulation of kinase activity",1.28983206220141,0.0850548240273348,145
"intrinsic apoptotic signaling pathway by p53 class mediator",1.44421192025408,0.0852243307561598,55
"negative regulation of interleukin 2 production",1.55078902950681,0.0853336146163675,17
"protein localization to nucleus",1.23230962310059,0.0858095720296947,222
"negative regulation of protein containing complex assembly",1.4025806858241,0.0872419142867065,81
"cellular response to heat",1.45397320110586,0.0875960518816024,43
"regulation of cytoskeleton organization",1.23254224484596,0.0880560782159261,260
"mrna export from nucleus",1.38301475130233,0.0880594717752839,62
"dendritic cell migration",1.58434508143275,0.0882558951839691,12
"hematopoietic stem cell differentiation",1.53808182382426,0.0882558951839691,25
"adaptive immune response",1.22151531305537,0.0885107018519636,281
"cellular response to lipoprotein particle stimulus",-1.6040934492207,0.0886602055136316,18
"microtubule organizing center localization",1.53471015671226,0.0886602055136316,23
"protein transmembrane transport",1.43851062550693,0.0896612318619172,55
"chaperone mediated protein complex assembly",1.56877168977292,0.0897438494006505,15
"formation of primary germ layer",1.42718590755347,0.09004704564908,38
"establishment of endothelial barrier",1.4987077648783,0.0909871721064047,28
"cellular extravasation",1.46295148744659,0.0910522010734715,33
"erk1 and erk2 cascade",1.31091546790294,0.0910522010734715,108
"negative regulation of mrna catabolic process",1.45198149614732,0.0910522010734715,51
"positive regulation of viral process",1.44477269846448,0.0910522010734715,53
"positive regulation of smooth muscle cell proliferation",1.44610356721564,0.0913454664005681,39
"regulation of dna biosynthetic process",1.41645822720306,0.0916158284760073,59
"inflammatory response",1.19364081992464,0.092274366430353,360
"positive regulation of erk1 and erk2 cascade",1.41466905902507,0.092274366430353,59
"positive regulation of muscle contraction",1.59208635127596,0.092274366430353,11
"positive regulation of developmental process",1.16983094684771,0.0928091035214328,500
"regulation of response to cytokine stimulus",1.33069543342977,0.0928091035214328,106
"negative regulation of cell adhesion",1.31437062821088,0.0934429674596546,119
"response to bacterium",1.24002492461841,0.0934429674596546,251
"signal transduction by p53 class mediator",1.31892855726525,0.0934429674596546,115
"positive regulation of dna metabolic process",1.24744206056354,0.0945860872622693,187
"adenylate cyclase inhibiting g protein coupled receptor signaling pathway",1.57457751793469,0.0946167916435636,12
"foam cell differentiation",1.58631095011061,0.0951984001709509,10
"protein stabilization",1.26921434994759,0.0951984001709509,150
"negative regulation of innate immune response",1.41495075866778,0.0954148931201842,58
"cytokine production involved in inflammatory response",1.4541531662971,0.096609875032871,33
"neuron apoptotic process",1.26911908027529,0.0971791342344117,149
"response to lipid",1.19722069666839,0.0982904451213982,403
"nucleic acid catabolic process",1.22641964809237,0.099395749235069,260
"chaperone mediated protein folding",1.4252259111595,0.0996254658639748,55
"leukocyte tethering or rolling",1.5738226129858,0.100256717121583,13
"regulation of blood circulation",1.39049673657495,0.100256717121583,64
"central nervous system neuron axonogenesis",1.56168263554846,0.100541092125462,14
"skeletal muscle contraction",1.56204338300471,0.100541092125462,14
"circadian rhythm",1.34562709377077,0.102491413170511,99
"muscle cell migration",1.49108445648699,0.102491413170511,29
"regulation of cellular component size",1.28385808630191,0.102491413170511,167
"regulation of neuron apoptotic process",1.30468795720829,0.102491413170511,119
"corpus callosum development",1.57245063152441,0.103600190673247,11
"response to lipoprotein particle",-1.76600698193135,0.103600190673247,16
"amino acid import across plasma membrane",1.53185835075431,0.104566941976301,17
"regulation of receptor clustering",-1.89373843029914,0.104566941976301,10
"smooth muscle cell migration",1.48753802864043,0.104566941976301,22
"cellular response to glucose starvation",1.40943544459079,0.105001889171445,38
"regulation of catalytic activity",1.2057745947734,0.107102871563188,319
"negative regulation of type ii interferon production",1.54492519190235,0.110030440965536,16
"dna repair",1.17509719872068,0.110188869792393,407
"positive regulation of protein containing complex assembly",1.30762152774764,0.110188869792393,115
"cellular response to arsenic containing substance",1.54122152423376,0.110596701073027,15
"negative regulation of g protein coupled receptor signaling pathway",1.46340045374715,0.110596701073027,26
"positive regulation of chemokine production",1.47794805979921,0.110596701073027,28
"regulation of intracellular transport",1.26729115839839,0.110596701073027,170
"regulation of post translational protein modification",1.2486151142441,0.110596701073027,172
"positive regulation of epithelial cell proliferation",1.38766347825697,0.111024804180994,72
"viral translation",1.49726591654556,0.111024804180994,20
"positive thymic t cell selection",1.56027593838864,0.11184487230358,13
"negative regulation of endothelial cell migration",1.50958387483515,0.113036933872872,19
"gamma delta t cell activation",1.49406691566132,0.113858668143368,20
"negative regulation of extrinsic apoptotic signaling pathway",1.42451783539427,0.113858668143368,43
"negative regulation of interleukin 8 production",1.55428486452322,0.113858668143368,10
"non canonical wnt signaling pathway",1.52684277805852,0.113858668143368,18
"positive regulation of chromosome organization",1.36596815909644,0.113858668143368,80
"regulation of protein stability",1.21679919962843,0.113858668143368,242
"interleukin 1 beta production",1.45031411452631,0.114415805549175,42
"regulation of synapse structure or activity",1.31290346304098,0.114415805549175,94
"thymic t cell selection",1.50676670262494,0.114415805549175,19
"negative regulation of cytoplasmic pattern recognition receptor signaling pathway",1.42709636034888,0.115374040900211,39
"dna biosynthetic process",1.33937663974447,0.115795581539045,100
"regulation of lymphocyte activation",1.20375583452554,0.115795581539045,294
"establishment or maintenance of cell polarity",1.31557264729968,0.11663263825672,109
"endolysosomal toll like receptor signaling pathway",1.45714533279228,0.116804339527167,30
"regulation of amino acid transport",1.54543186082465,0.117276573503028,14
"substrate adhesion dependent cell spreading",1.43316568216337,0.117276573503028,40
"natural killer cell activation involved in immune response",-1.63298798072697,0.117330425404004,13
"mirna catabolic process",1.53029569387806,0.117622356890109,16
"negative regulation of lymphocyte activation",1.33018587755444,0.117622356890109,77
"attachment of spindle microtubules to kinetochore",1.43599977404735,0.118955742383035,27
"chromosome localization",1.3674656807076,0.118955742383035,71
"positive regulation of cell substrate adhesion",1.41602414817002,0.118955742383035,51
"regulation of nucleobase containing compound transport",1.52638016038527,0.118955742383035,16
"nucleoside triphosphate metabolic process",1.25420837045844,0.11931983050955,179
"regulation of hematopoietic stem cell differentiation",1.54779971692471,0.11931983050955,13
"actin polymerization or depolymerization",1.31242701802323,0.120137824211359,98
"b cell differentiation",1.33997570948342,0.120137824211359,93
"negative regulation of intracellular steroid hormone receptor signaling pathway",1.49057570024365,0.120137824211359,23
"positive regulation of defense response to virus by host",1.48933277578918,0.120137824211359,21
"regulation of anatomical structure size",1.23366783244777,0.120137824211359,204
"regulation of leukocyte differentiation",1.22991627636235,0.120137824211359,184
"response to cold",1.49076798054448,0.120137824211359,23
