"subset","term","NES","padj","size"
"Naïve CD4 T","cellular response to zinc ion",-0.884862493490386,0.851576542551388,10
"Naïve CD4 T","cellular senescence",0.8649962389947,0.886197890439839,62
"Naïve CD4 T","cell activation involved in immune response",1.28321986455589,0.353270644273806,182
"Naïve CD4 T","cell adhesion",1.25889439075997,0.205529915035922,496
"Naïve CD4 T","cell adhesion mediated by integrin",1.23981688523891,0.582423287290257,32
"Naïve CD4 T","cell cell adhesion",1.25087754550718,0.332179873848436,336
"Naïve CD4 T","cell cell adhesion mediated by integrin",1.23391943018367,0.608870803209425,11
"Naïve CD4 T","cell cell adhesion via plasma membrane adhesion molecules",0.986893457866558,0.810535825469107,31
"Naïve CD4 T","cell cell junction assembly",-1.21862264803128,0.572064878298498,40
"Naïve CD4 T","cell cell junction organization",0.97802414684257,0.822076978939724,62
"Naïve CD4 T","cell cell recognition",1.01509565757398,0.794406246808558,27
"Naïve CD4 T","cell cell signaling",0.706045755044482,1,368
"Naïve CD4 T","cell chemotaxis",1.14037367770738,0.637542689381079,107
"Naïve CD4 T","cell communication involved in cardiac conduction",-1.4487383542857,0.444850668503506,12
"Naïve CD4 T","cell cycle checkpoint signaling",1.13534654809215,0.643000887196243,98
"Naïve CD4 T","cell cycle dna replication",0.534275239168929,0.996085482037452,17
"Naïve CD4 T","cell cycle g1 s phase transition",0.909372461807215,0.883849455265764,135
"Naïve CD4 T","cell cycle g2 m phase transition",0.755000876810337,0.960879212521035,85
"Naïve CD4 T","cell cycle phase transition",0.867524323490985,0.935226998706623,295
"Naïve CD4 T","cell differentiation involved in kidney development",1.54642258316653,0.203143049223755,11
"Naïve CD4 T","cell division",1.15860760648838,0.510907176169701,338
"Naïve CD4 T","cell fate commitment",1.56505376170906,0.144088332866049,82
"Naïve CD4 T","cell fate specification",-0.834428909819896,0.886197890439839,26
"Naïve CD4 T","cell growth",1.05955804849497,0.749514138175,211
"Naïve CD4 T","cell junction assembly",0.993999713731119,0.813365772643172,136
"Naïve CD4 T","cell junction disassembly",0.779137731032564,0.913252285946525,10
"Naïve CD4 T","cell junction maintenance",-1.01122451868229,0.778401099125325,14
"Naïve CD4 T","cell junction organization",1.15104595414854,0.57225109631314,235
"Naïve CD4 T","cell killing",-1.33002887732242,0.393583978489639,107
"Naïve CD4 T","cell matrix adhesion",1.2659746634311,0.459623370749558,85
"Naïve CD4 T","cell maturation",-1.24892383496817,0.545401336201153,54
