names,logfoldchanges,pvals_adj
SHCBP1,0.9484564,6.2752313376954465e-25
BRIP1,0.9454278,5.688714830528518e-23
EZH2,0.9381689,5.924903363180055e-47
MFGE8,0.93794996,3.488244183005893e-24
PIDD1,0.9363138,1.3072778293558356e-24
NCAPG,0.93404716,5.685184630537119e-38
RAD51,0.9306348,1.7225776782353337e-37
TRBC2,0.9301265,2.8998948209625418e-08
HEMGN,0.9280826,0.027327162703499445
ARHGAP33,0.9249062,2.203128039605975e-15
HASPIN,0.9213196,5.465093356900503e-09
MND1,0.92043567,1.0874426297115153e-32
KIF18B,0.9191954,8.075972127458152e-11
AC068587.4,0.91723615,7.112003680631413e-23
ECM1,0.9155977,3.3559820769899844e-09
LIG1,0.915439,9.735517673727503e-58
UBE2T,0.913385,4.149945377779736e-44
NEIL3,0.912723,5.075082187340082e-23
DNTT,0.90847456,2.0672797042438173e-09
FANCG,0.9074164,1.7233459007794414e-31
POLQ,0.90644956,1.0563055014168303e-25
CDC25A,0.9047098,1.101133631336209e-22
CCNA2,0.897868,1.1611369758445471e-45
IGHM,0.8933182,0.014004503418369526
LIN54,0.89169466,4.652340536686236e-12
DSCC1,0.8911216,5.997792364884972e-23
ITM2A,0.88548577,1.2320921473432873e-35
HMGB2,0.884643,7.284186860202459e-84
CDC45,0.88444936,1.3848297249188538e-39
FEN1,0.8816851,1.480477284024106e-51
NCAPD2,0.88012177,2.9699829527020783e-45
H1FX,0.8760739,3.3482622001263136e-69
WDR76,0.8759672,1.6618610255573296e-22
MICB,0.87481236,1.9954293927927003e-05
MCM10,0.87044334,3.3327686426001926e-26
ZNF695,0.86359334,0.009224912072869379
CAVIN1,0.8592877,0.012446269642870923
C1orf112,0.85786164,1.1658302090321283e-12
AL662797.1,0.8563713,4.509675574368387e-08
ESPL1,0.8562039,1.607645741741322e-06
PAG1,0.855794,6.984680966697934e-17
ATAD5,0.85516363,4.453120077472331e-43
B3GLCT,0.8545079,0.007178563922773937
CCP110,0.85426617,9.251995033559441e-24
KNL1,0.8541637,1.3831503741567606e-30
NOG,0.85127515,0.00028716177633492617
NCAPH,0.8499596,3.685365749361718e-35
RFWD3,0.8490938,4.226921858804559e-26
BTG3,0.8447227,4.955106407366048e-19
SMC3,0.8426887,1.2131062963580865e-53
SYCE2,0.84059894,0.047301871547864055
CLSPN,0.8348294,1.2035238670270124e-46
RFX2,0.8343216,2.6119463258699455e-10
ZWINT,0.83383125,6.362196119462746e-46
MNS1,0.833279,4.3385514802750484e-13
MAFF,0.83225054,0.0002193647188003494
EMP1,0.8305928,0.0002008025594578669
CSRP2,0.8287554,4.339888101128105e-05
WAKMAR2,0.82749456,0.0034561650763770954
SERPINB9,0.82741827,0.001114514171351586
AC011603.2,0.8249608,8.767857619898724e-29
CARHSP1,0.8248938,8.122712838242745e-50
MELTF-AS1,0.8230615,0.030106003178369024
NDST3,0.82286644,0.00271219244815186
PARP2,0.82029945,2.4503543195978294e-16
NCAPH2,0.81940484,4.149288605769387e-27
HJURP,0.81900007,7.266717597314915e-20
BRCA2,0.8183248,4.4071713715518197e-35
CD83,0.81562877,2.5241670433461954e-09
SPARC,0.8140968,1.5436955188620912e-23
DHFR,0.8107449,1.3562951388301879e-48
WDR62,0.81011635,2.765002010604958e-14
CD69,0.8097493,1.0661617945884868e-22
SMC1A,0.80944055,4.980143807890439e-59
CDC6,0.80671406,1.7903238217539895e-24
AUNIP,0.8060924,0.005658684113340242
STAMBPL1,0.80411756,0.0012783840686135797
TMEM106C,0.8030709,7.494870458149673e-41
TMEM143,0.8012967,4.1639206102666244e-05
RASD1,0.80028474,0.009063065764920322
NSD2,0.79470444,5.3654989580007404e-46
TUBA1B,0.7885625,5.803295095703759e-198
GNAI1,0.7855637,2.7460087170802584e-05
NCAPD3,0.7848804,1.0546620108135482e-27
EME1,0.78380007,9.169609210525525e-05
TGFB1I1,0.7837291,0.012179899635995103
