names,scores,logfoldchanges,pvals,pvals_adj
KIT,10.3470745,0.6990726,4.314698317039963e-25,6.276050009456108e-23
AC068587.4,10.334584,0.91723615,4.9154124758258505e-25,7.112003680631413e-23
MASTL,10.324311,1.1800009,5.470997797450985e-25,7.874205566794455e-23
DONSON,10.3161,1.0225586,5.959484630478335e-25,8.532359513353955e-23
CD69,10.294177,0.8097493,7.485667540444287e-25,1.0661617945884868e-22
CDC25A,10.29057,0.9047098,7.771476298101673e-25,1.101133631336209e-22
WDR76,10.250365,0.8759672,1.1789696444018209e-24,1.6618610255573296e-22
YWHAH,10.242994,0.48051733,1.2723633945696267e-24,1.7843102250205647e-22
HIST1H2BH,10.231378,1.8790133,1.434638106398296e-24,2.001612941712643e-22
RACGAP1,10.200358,0.7647695,1.9754162997778803e-24,2.742118483945478e-22
CKS1B,10.192786,0.5103051,2.1355491974736592e-24,2.949430724955287e-22
HIST1H2BC,10.183466,1.2496505,2.3503817615078514e-24,3.229826113075061e-22
SLBP,10.16944,0.56702137,2.7146343365289503e-24,3.7117195283360337e-22
HIST1H2BF,10.167592,1.7117207,2.766632393120238e-24,3.7639964886699516e-22
GTSE1,10.1218195,0.77464867,4.421176037581866e-24,5.985221778401669e-22
CENPK,10.067802,0.5576924,7.667184649703399e-24,1.0328415341418184e-21
