sample,LS_1,LS_2,LS_3,LS_4,LS_5,LS_6,LS_7,LS_8,LS_9,LS_10,LS_11,LS_12,LS_13,LS_14,LS_15,LS_16,LS_17,LS_18,LS_19,LS_20,LS_21,LS_22,LS_23,LS_24,LS_25,LS_26,LS_27,LS_28,LS_29,LS_30
TARGET.20.PAWUTL.09A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22726085772431018,0.0,0.0,0.0,0.0,0.0,0.0,0.26503884552910056,0.26805683084105486,0.0,0.2163465452878216,0.02329692061771271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TARGET.20.PAVDVU.09A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09165186471401164,0.1846821861043928,0.0,0.0,0.0,0.0,0.0,0.0,0.1548193323673521,0.0,0.0,0.0,0.0,0.0,0.01057206609658643,0.0,0.5582745507176572,0.0,0.0,0.0,0.0,0.0,0.0
TARGET.20.PAUNDC.09A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05816092634700339,0.23649553239402404,0.0,0.0,0.0,0.0,0.0,0.14880675173552368,0.47686458027979906,0.0,0.0,0.0,0.0,0.0,0.002281666187126772,0.0,0.0,0.0,0.07739054305652304,0.0,0.0,0.0,0.0
TARGET.20.PASGAE.09A,0.0473324706564941,0.0,0.0,0.0,0.06408970489172754,0.0,0.0,0.08759914884333979,0.24961034649115332,0.0,0.0,0.0,0.0,0.0,0.29777838929525696,0.06250557229455761,0.0,0.0,0.0,0.11562104502685977,0.0,0.07546332250061095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TARGET.20.PAENYR.09A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047644682162800725,0.22475603023874993,0.0,0.0,0.0,0.0,0.0,0.0,0.49691417549543176,0.0,0.0,0.0,0.012008467705979062,0.0,0.011365562094943018,0.0,0.0,0.0,0.20731108230209547,0.0,0.0,0.0,0.0
TARGET.20.PASVWW.09A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043154209993831974,0.19680241082998362,0.0,0.0,0.0,0.0,0.0,0.15666056826622304,0.22496401905957453,0.0,0.0,0.0004193259750898295,0.0,0.0,0.018467153812626768,0.0,0.0,0.04067587380764692,0.31885643825502336,0.0,0.0,0.0,0.0
TARGET.20.PAVYYR.09A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1154916870788178,0.14546127415974172,0.0,0.0,0.0,0.0,0.0,0.1259455483902982,0.44459584580120187,0.0,0.0,0.0,0.0,0.0,0.008198974884640739,0.0,0.0,0.0,0.16030666968529964,0.0,0.0,0.0,0.0
TARGET.20.PAWTEB.09A,0.0,0.0,0.0,0.0,0.020759295299100287,0.0,0.0,0.13200332837885614,0.41347390189146743,0.0,0.0,0.0,0.0,0.0,0.16437447028132837,0.23333471323134414,0.0,0.0,0.0,0.0,0.0,0.008389390686022995,0.0,0.0,0.0,0.027664900231880646,0.0,0.0,0.0,0.0
TARGET.20.PATBWH.09A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009898306432926555,0.10673168867166546,0.0,0.0,0.0,0.0,0.0,0.0,0.5494312846953076,0.0,0.0,0.0011020229882637384,0.0,0.10426227454410479,0.0478981443986244,0.0,0.0,0.0,0.18067627826910757,0.0,0.0,0.0,0.0
TARGET.20.PAWRYC.09A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2037900297219015,0.444384722515567,0.0,0.0,0.0,0.0,0.0,0.10752722390151746,0.01918711087666767,0.0,0.0,0.0,0.1790690970022218,0.0,0.04604181598212457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TARGET.20.PABHET.09A,0.0,0.028977019580068954,0.0,0.0,0.0,0.0,0.0,0.06507246024628482,0.05906777958063459,0.0,0.0,0.0,0.04030324108213956,0.0,0.06528548369611219,0.1905472257731569,0.0,0.02265435358682359,0.0001515427144184589,0.0,0.10741641993806902,0.0014069803371125674,0.0,0.0,0.0,0.41911749346517935,0.0,0.0,0.0,0.0
TARGET.20.PASFLX.09A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09973185336919113,0.13491147537226306,0.0,0.0,0.0,0.0,0.0,0.13482881611215777,0.30374388155043536,0.0,0.0,0.0,0.004108244150591876,0.0,0.0656494088764315,0.0,0.0,0.027164059065859014,0.22986226150307024,0.0,0.0,0.0,0.0
TARGET.20.PAXMNR.09A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08695900792227299,0.13839837847808284,0.0,0.0,0.0,0.0,0.0,0.03534807217703408,0.5476454332902823,0.0,0.0,0.0,0.12542508869560814,0.0,0.015311206061962053,0.0,0.0,0.0,0.05091281337475775,0.0,0.0,0.0,0.0
