res,cluster,n_cells,mean_jaccard,sd_jaccard,top_patient_frac,top_patient,n_patients,top_cyto
5.0,9,124,0.0941342272361275,0.04172280010225896,0.22580645161290322,AML3492,16,PML/RARA(35%)
5.0,10,429,0.7801746834840262,0.11548325847692655,0.8321678321678322,AML4232,18,RUNX1/RUNX1T1(84%)
5.0,11,961,0.5979101040245296,0.0579990015799928,0.10613943808532779,AML4102,30,CBFB/MYH11(17%)
5.0,12,994,0.23590576627369253,0.0981978166465248,0.1056338028169014,AML1355,27,PML/RARA(20%)
5.0,13,1038,0.5716141496410614,0.14321536131111823,0.2976878612716763,AML3082,23,CBFB/MYH11(73%)
5.0,14,1029,0.4941916787848806,0.0880373528003075,0.6793002915451894,AML4000,24,MLLr(70%)
5.0,15,626,0.27487961816559225,0.09029970941037352,0.1389776357827476,AML4363,27,MLLr(16%)
5.0,16,1236,0.4948020532490716,0.09095593297344776,0.3648867313915858,AML4304,26,MLLr(56%)
5.0,17,936,0.3714093806115205,0.1597606538667893,0.45726495726495725,AML4090,27,Tri(8)/MLLr(50%)
5.0,18,285,0.06101980533029751,0.01634505142732236,0.28771929824561404,AML4304,20,MLLr(47%)
5.0,19,1078,0.23544901216785125,0.11246244967075214,0.32653061224489793,AML4192,24,Tri(8)/MLLr(35%)
5.0,20,339,0.1270668032838415,0.04320667066664205,0.168141592920354,AML4192,24,Tri(8)/MLLr(25%)
5.0,21,604,0.3558511409690862,0.08541831186816316,0.6009933774834437,AML3121,23,t(2;3)(p15;q26.2)(60%)
5.0,22,1493,0.4204639601969241,0.10734599295229089,0.3174815807099799,AML1355,23,PML/RARA(52%)
5.0,23,1674,0.6772806739707972,0.11345110910585478,0.48984468339307047,AML3210,29,MLLr(58%)
5.0,24,2279,0.550123172954952,0.12962344873549433,0.09697235629662132,AML335,30,CN(26%)
5.0,25,1018,0.4969457567773328,0.07525732913986477,0.46168958742632615,AML3121,25,t(2;3)(p15;q26.2)(46%)
5.0,26,791,0.7307430163744183,0.05149740248351039,0.34513274336283184,AML4271,24,CBFB/MYH11(55%)
5.0,27,406,0.8221857687534408,0.11758029388171329,0.8251231527093597,AML4116,12,NUP98/NSD1(83%)
5.0,28,1327,0.6909708976157354,0.12058351593860443,0.09645817633760362,AML4035,29,CN(19%)
5.0,29,2364,0.7583862641727829,0.11527178488577201,0.3866328257191201,AML4271,20,CBFB/MYH11(94%)
5.0,30,1252,0.3413981640970306,0.10624673384005859,0.23961661341853036,AML1355,28,PML/RARA(31%)
5.0,31,1002,0.5270686772729621,0.09486683319433002,0.1217564870259481,AML4192,29,CN(19%)
5.0,32,1131,0.8146477067921143,0.04230739403024574,0.4367816091954023,AML4232,28,RUNX1/RUNX1T1(62%)
5.0,33,880,0.5336319416274187,0.08250950928836136,0.26590909090909093,AML647,28,del7q(27%)
5.0,34,1793,0.39645912189534177,0.10117206489870087,0.21360847741215838,AML1355,26,PML/RARA(30%)
5.0,35,644,0.272733146344924,0.14119848731319173,0.2857142857142857,AML4226,26,CN(40%)
5.0,36,1223,0.35786881072775445,0.1244005186077365,0.3237939493049877,AML4090,23,CN(47%)
5.0,37,315,0.1438217277821121,0.09437570791042153,0.3333333333333333,AML4226,21,CN(64%)
5.0,38,292,0.13685769196472092,0.048006700515967886,0.25,AML948,22,CN(46%)
5.0,39,1169,0.18864336265991927,0.031338192210200386,0.2566295979469632,AML4090,25,Tri(8)/MLLr(26%)
5.0,40,1539,0.9272950071866539,0.02266145982673018,0.944769330734243,AML4035,21,MYB/GATA1(94%)
5.0,41,964,0.9000160813528962,0.026277086142202213,0.83298755186722,AML882,21,t(7;14)(q21;q32)(83%)
5.0,42,276,0.4877807358237069,0.11546315673133961,0.8079710144927537,AML3210,15,MLLr(84%)
5.0,43,235,0.12384994192027723,0.05143546715867715,0.19574468085106383,AML4000,21,CN(27%)
5.0,44,1368,0.4685143761968371,0.12370813385879106,0.5182748538011696,AML4264,23,RUNX1/RUNX1T1(71%)
5.0,45,742,0.2947112061269455,0.08670182202949664,0.2628032345013477,AML4304,25,MLLr(35%)
5.0,46,592,0.26614816678586467,0.13125837804008283,0.3344594594594595,AML3371,23,PML/RARA(41%)
5.0,47,721,0.16795492043884425,0.05034506237682421,0.23994452149791956,AML3492,27,PML/RARA(30%)
5.0,48,638,0.6966157581551476,0.031739917253338086,0.7476489028213166,AML3210,24,MLLr(75%)
5.0,49,395,0.16608435123518514,0.02912142397320924,0.3265822784810127,AML1355,18,PML/RARA(53%)
5.0,50,999,0.6431513214876137,0.09931176745811758,0.2012012012012012,AML3082,23,CBFB/MYH11(37%)
5.0,51,1415,0.6327485949554541,0.1293625407811764,0.06643109540636043,AML4271,30,CN(21%)
5.0,52,1205,0.3947833424229833,0.09268254602409833,0.4979253112033195,AML4102,22,RUNX1/RUNX1T1(52%)
5.0,53,297,0.4823530593384386,0.14998341206937876,0.15488215488215487,AML4304,27,CN(29%)
5.0,54,1108,0.6201603205578818,0.05736527418680769,0.618231046931408,AML3371,20,Tri(15)(62%)
