PAC,gene,log2FC,pval_adj,score
FPAC_1,SURF4,0.45000407,8.129531096697225e-11,6.8804474
FPAC_1,IRF2BP2,0.1939734,1.0294027947039243e-10,6.845252
FPAC_1,ATP5MPL,0.26613504,1.0512045929816284e-10,6.841899
FPAC_1,LARP1,0.34747842,1.0667881249605586e-10,6.8397202
FPAC_1,SNHG3,0.3219876,1.1029860324991345e-10,6.8345866
FPAC_1,HRH2,0.7168153,1.1938653873647945e-10,6.822384
FPAC_1,ST13,0.12738718,1.3272446663225143e-10,6.806597
FPAC_1,SRSF6,0.3123487,1.5478194234797007e-10,6.783526
FPAC_1,ANKRD18A,3.6126456,2.3598978335920113e-10,6.720609
FPAC_1,SMIM10,1.5912601,2.753233296909109e-10,6.6973476
FPAC_1,APLP2,0.2073509,3.3077410742096075e-10,6.6690865
FPAC_1,UGT3A2,2.356931,3.8908265565330973e-10,6.644318
FPAC_1,PXDN,1.631858,3.920515243550299e-10,6.642992
FPAC_1,RGCC,0.7736,4.574453211815075e-10,6.6187854
FPAC_1,AZI2,0.73474026,4.797267787494669e-10,6.6114087
FPAC_1,TOMM22,0.21059395,5.287692411714396e-10,6.5965776
FPAC_1,KRTCAP2,0.14378735,5.341968416545749e-10,6.5948586
FPAC_1,SSBP1,0.19203103,6.453861831469794e-10,6.565116
FPAC_1,PLAUR,0.6202431,6.979571927662382e-10,6.553031
FPAC_1,APOC2,0.5603188,7.470637439666431e-10,6.5424013
FPAC_1,ST3GAL6,1.1053119,7.872409063816811e-10,6.5341606
FPAC_1,PHPT1,0.23141144,1.308410888420949e-09,6.454852
FPAC_1,TSPO,0.23450622,1.5802851642389291e-09,6.4247956
FPAC_1,FAM53C,0.5839028,1.7279362538458857e-09,6.410528
FPAC_1,LIN7A,2.2214699,2.0035469663658797e-09,6.3867345
FPAC_1,SELENOH,0.08301675,2.2737332195284107e-09,6.3665586
FPAC_1,NDUFB2,0.20730297,2.5418825136180997e-09,6.34844
FPAC_1,TMEM258,0.23196264,5.106444966294684e-09,6.2358665
FPAC_1,SUGP2,0.36787176,5.269675549859539e-09,6.230745
FPAC_1,PA2G4,0.18065174,5.9062787508660585e-09,6.2125945
FPAC_1,TCEAL4,0.39036706,6.421914606556951e-09,6.198848
FPAC_1,AL138963.4,0.33064917,7.193554880529542e-09,6.180246
FPAC_1,PRDX2,0.44253346,7.97610912410881e-09,6.1635985
FPAC_1,CCND2,0.3301412,8.141030472080917e-09,6.1602287
FPAC_1,KBTBD11,0.95455813,8.392097211445225e-09,6.1549973
FPAC_1,KRT17,1.8375494,8.752936334672616e-09,6.148093
FPAC_1,LRPAP1,0.2564927,9.235951920811368e-09,6.1391125
FPAC_1,SRSF3,0.11787574,1.0171845355310325e-08,6.122984
FPAC_1,LSM2,0.14625081,1.0913766445982478e-08,6.1110935
FPAC_1,SLC2A4RG,0.40838504,2.520294878062359e-08,5.9690065
FPAC_1,TOMM20,0.09771005,2.621114380570892e-08,5.9622874
FPAC_1,AC002454.1,0.6476003,2.824723391532108e-08,5.949551
FPAC_1,DNAJB1,0.31975925,3.229676077032926e-08,5.926765
FPAC_1,NDUFAB1,0.19678138,3.310019142359004e-08,5.9225388
FPAC_1,METTL26,0.1598629,3.469136583524245e-08,5.914564
FPAC_1,CNPY2,0.2094696,3.4842939224923154e-08,5.9137836
FPAC_1,TOMM5,0.28628102,3.7941735833035954e-08,5.8989882
FPAC_1,MPST,0.22008304,4.267274284148252e-08,5.8784404
FPAC_1,MST1,1.8861378,4.828661146840002e-08,5.857007
FPAC_1,LARS,0.25501147,5.067410553067797e-08,5.84855
FPAC_1,NCL,0.05346929,5.067410553067797e-08,5.848548
FPAC_1,EIF4B,0.06500079,5.271678377139649e-08,5.8415346
FPAC_1,SERPINB1,0.12613739,6.282418661115312e-08,5.810327
FPAC_1,Z93241.1,0.54450554,6.401850654199372e-08,5.8069887
FPAC_1,GRASP,1.5109575,7.097398194175248e-08,5.7888865
FPAC_1,PARL,0.3898743,7.424770075223883e-08,5.7809987
FPAC_1,HDLBP,0.24454823,8.287573650383255e-08,5.7616777
FPAC_1,MRPS24,0.21265152,8.750724879433984e-08,5.751942
FPAC_1,FNDC10,1.1546483,8.934715860635419e-08,5.748179
FPAC_1,CHRNB1,0.7885914,9.894724069496994e-08,5.7300363
FPAC_1,CD320,0.89041704,1.0421248497668568e-07,5.7208686
FPAC_1,IGFBP7,0.18091398,1.1394507618637093e-07,5.7045217
FPAC_1,FGFR1,0.9868773,1.145188125469451e-07,5.703605
FPAC_1,DDIT3,0.6188469,1.593590374976043e-07,5.644002
FPAC_1,TPI1,0.056810983,1.6159958748625208e-07,5.641478
FPAC_1,MIR100HG,4.130615,1.6555055064725573e-07,5.637198
FPAC_1,SF3B5,0.08092442,1.7730108001709988e-07,5.624529
FPAC_1,TEKT2,3.3735862,1.9497100086371474e-07,5.607503
FPAC_1,TBC1D2B,0.6116648,2.698898572984527e-07,5.547629
FPAC_1,ITPR2,0.3642046,2.804729261843274e-07,5.5404215
FPAC_1,LAMB2,1.224386,2.9570824054647846e-07,5.5300813
FPAC_1,SNHG32,0.21414292,3.325762446151259e-07,5.5086036
FPAC_1,MCRIP1,0.29054528,3.387544431007855e-07,5.505184
FPAC_1,C17orf49,0.24067827,3.4041840587772165e-07,5.504262
