bin,x,y,n_cells
789,-18.6185,-24.2428,11
790,-18.6185,-23.6427,16
791,-18.6185,-23.0426,6
792,-18.6185,-22.4424,17
793,-18.6185,-21.8423,20
794,-18.6185,-21.2422,20
795,-18.6185,-20.6420,25
796,-18.6185,-20.0419,21
797,-18.6185,-19.4418,7
798,-18.6185,-18.8416,13
799,-18.6185,-18.2415,19
800,-18.6185,-17.6414,19
801,-18.6185,-17.0412,16
802,-18.6185,-16.4411,11
803,-18.6185,-15.8410,7
804,-18.6185,-15.2408,15
805,-18.6185,-14.6407,5
806,-18.6185,-14.0406,5
807,-18.6185,-13.4404,5
808,-18.6185,-12.8403,7
809,-18.6185,-12.2402,12
810,-18.6185,-11.6400,8
811,-18.6185,-11.0399,9
812,-18.6185,-10.4398,13
813,-18.6185,-9.8396,9
814,-18.6185,-9.2395,23
815,-18.6185,-8.6394,18
816,-18.6185,-8.0393,22
817,-18.6185,-7.4391,11
818,-18.6185,-6.8390,7
819,-18.6185,-6.2389,5
820,-18.6185,-5.6387,8
821,-18.6185,-5.0386,10
822,-18.6185,-4.4385,6
823,-18.6185,-3.8383,3
824,-18.6185,-3.2382,4
825,-18.6185,-2.6381,6
826,-18.6185,-2.0379,11
827,-18.6185,-1.4378,11
828,-18.6185,-0.8377,12
829,-18.6185,-0.2375,9
830,-18.6185,0.3626,3
831,-18.6185,0.9627,4
832,-18.6185,1.5629,2
833,-18.6185,3.3633,1
834,-18.6185,3.9634,1
835,-18.6185,5.1637,1
836,-18.6185,5.7638,1
837,-18.6185,6.3639,1
