names,scores,logfoldchanges,pvals,pvals_adj
FARSA,12.345312,0.71913934,5.163340783847524e-35,5.763131309187526e-33
LY86,12.3196125,0.9859247,7.103517322111941e-35,7.896454662214355e-33
IFI35,12.31333,1.197061,7.67889173199139e-35,8.467216665445022e-33
SMYD3,12.287377,0.7943358,1.0588568985404483e-34,1.1628715159633372e-32
TCF4,12.249616,1.1637524,1.6879458353537443e-34,1.8463426725433396e-32
EEF1G,12.248976,0.46037993,1.7013163010884632e-34,1.8535536083492075e-32
NUCB2,12.226907,0.6956559,2.232797504778156e-34,2.422939704986645e-32
HMGA1,12.207676,0.7291468,2.828527015071794e-34,3.0572687649862956e-32
TAPBP,12.169406,0.6330934,4.52362274985281e-34,4.851097557548037e-32
MFSD1,12.0945015,0.695483,1.129250140599026e-33,1.2015748772303877e-31
SLC25A3,12.087913,0.582237,1.2235605269543877e-33,1.2968793089183987e-31
TNFSF13B,12.065793,0.79303,1.6011211144030873e-33,1.6905118916782558e-31
BAX,12.04249,0.64839625,2.1244556599599768e-33,2.2344370952794433e-31
TENT5A,12.029695,0.764407,2.4807781260242162e-33,2.5992091430750275e-31
CD37,12.0277405,0.63873976,2.5401628319230334e-33,2.651270717624705e-31
BCKDHA,12.018315,0.8355031,2.8471659398986246e-33,2.9604030339341362e-31
PLXND1,12.002306,0.8709393,3.455337588802239e-33,3.5791538524009856e-31
SRSF2,11.988932,0.62920725,4.0610945302671296e-33,4.1907430575352805e-31
NME3,11.973589,0.7086562,4.886784895366021e-33,5.005019466242667e-31
PSMA3,11.958249,0.784524,5.878855682754518e-33,5.976326672884946e-31
TMEM59,11.957559,0.61433566,5.927951129158048e-33,6.003916725109481e-31
ICAM3,11.912428,0.6749585,1.019640469846074e-32,1.0288962468048242e-30
NME2,11.912071,0.57197094,1.0240107032673126e-32,1.0295072313069093e-30
PSMB9,11.902233,0.6969309,1.1522247671231002e-32,1.154166244752685e-30
HNRNPA1,11.892549,0.58686095,1.2939631361236442e-32,1.2914129897969772e-30
PPP2R1A,11.8628645,0.629641,1.845514720071868e-32,1.8351798376394654e-30
