names,scores,logfoldchanges,pvals,pvals_adj
TRIM26,3.8983276,0.36198893,9.68593091067759e-05,0.0007744779727584485
FBXO42,3.8975532,0.317589,9.71694555248068e-05,0.0007767307602400956
NME6,3.8964136,0.25387138,9.762766941226675e-05,0.000779993567617329
SPECC1,3.8963962,0.16106823,9.763468082915664e-05,0.000779993567617329
FAM217B,3.8930635,0.34990057,9.898616528227753e-05,0.0007903286644698281
VPS52,3.8923328,0.36744317,9.928492661420551e-05,0.0007924826629282148
GPT2,3.8922024,0.4008219,9.933836634975955e-05,0.0007926778424862926
MIER1,3.8903925,0.13098547,0.00010008220187729205,0.0007983803653840223
PTDSS1,3.889479,0.17808354,0.00010045968978160001,0.0008011579693110627
DMC1,3.8885741,1.5434456,0.00010083490715052147,0.0008039158515854694
NCK2,3.8879912,0.32020319,0.00010107733394461878,0.0008056137493586549
ARHGEF40,3.885868,0.50594205,0.00010196485981010617,0.0008124507739997563
BACH1,3.8851895,0.20621306,0.00010225012516660797,0.0008144864325097762
VAPA,3.8848763,0.2233224,0.00010238204001241166,0.0008152997280662228
ANAPC2,3.882701,0.4120118,0.00010330255597237802,0.0008223905955227509
ZNF695,3.882527,0.93132365,0.00010337653370736512,0.0008227400147734593
ZDHHC5,3.8815002,0.29743418,0.00010381402109838734,0.0008259480573426865
GBP5,3.8814394,0.51654875,0.0001038400285652072,0.0008259480573426865
WHAMM,3.8798037,0.21045436,0.00010454081939680499,0.0008312803859334194
CDIP1,3.8795252,0.19842988,0.00010466054655931027,0.0008319904959915403
SLC35E2B,3.8787682,0.33391967,0.00010498670927040355,0.0008343407589969357
TAB1,3.8780112,0.2921107,0.00010531383103698783,0.0008366972758679457
TNFSF13B,3.8778112,0.15519866,0.00010540047212194695,0.0008371424079717575
GPSM1,3.8764973,0.34299362,0.0001059709622714005,0.0008414291330643781
TSNAX,3.8759232,0.20689724,0.00010622122961413462,0.0008430473044791259
PER2,3.8758883,0.3858181,0.00010623641524299964,0.0008430473044791259
HDAC8,3.8737304,0.22382762,0.00010718193536202337,0.0008503038016854919
SIGMAR1,3.8706243,0.15388928,0.0001085569781112172,0.0008609626228043347
VAT1,3.870111,0.16179499,0.00010878582253030016,0.0008625274290848329
RHOG,3.8693018,0.22024152,0.00010914746777979517,0.0008651439576539938
PLCG1,3.8685796,0.67323965,0.00010947118404818608,0.0008672071260086028
STAT1,3.8685796,0.12129133,0.00010947118404818608,0.0008672071260086028
LATS2,3.8681707,0.33528864,0.00010965489472830482,0.0008682523700566835
CCNI,3.8681445,0.26469418,0.00010966663081166476,0.0008682523700566835
CFAP410,3.8674486,0.23551716,0.0001099800305299335,0.0008704815962001625
TADA3,3.8657084,0.16502722,0.00011076723049611706,0.0008764585315818336
OGT,3.865517,0.14746615,0.00011085414626516456,0.0008768925321860543
DRG1,3.864725,0.1689106,0.00011121434541309508,0.0008794874174859739
DESI2,3.8641422,0.23318097,0.00011148025238440092,0.0008813353517501671
HOPX,3.8633678,0.47041538,0.00011183439964923962,0.0008838796221988748
TERF2,3.8606706,0.2825914,0.00011307625011213846,0.0008934363292593293
RIPK2,3.8589044,0.20571944,0.00011389649726873134,0.0008996573120481592
RAB18,3.858565,0.2240865,0.0001140547229925271,0.0009006469693773162
TAP2,3.8577037,0.17608745,0.00011445730452442527,0.0009035650835811009
ALOX5AP,3.8570163,0.5784718,0.0001147795175222845,0.000905650334329996
CYB5R4,3.856999,0.17945378,0.00011478768590608376,0.000905650334329996
DNM1,3.8545365,0.566154,0.00011594905597166075,0.0009145494331124992
PPP1R12B,3.8527877,0.53816545,0.00011678063671820811,0.0009208429330150285
DMXL2,3.8524485,0.32693288,0.0001169426383626227,0.0009218545369455982
KIF18A,3.8518307,0.2366468,0.00011723810868528091,0.0009239173833163378
CLPX,3.8490028,0.14674963,0.00011859962310874503,0.0009343777855176439
DCLRE1C,3.8481414,0.26123807,0.00011901731499470612,0.0009373984723056549
TCF7L2,3.846236,0.4501914,0.00011994623334228134,0.0009444427575519797
RIC1,3.8460097,0.2521672,0.00012005696873844563,0.0009450425639382654
TRABD,3.84554,0.15764046,0.00012028726570953754,0.0009465828972929535
EFHC1,3.8444872,0.5143979,0.00012080481472438765,0.0009501088477000588
METTL21A,3.8441827,0.16414158,0.00012095491002059784,0.0009507424459394275
C11orf49,3.843965,0.3117017,0.00012106222857613679,0.0009513125582307576
ELOF1,3.843591,0.1781555,0.00012124702652252018,0.0009524910046782066
LRRC26,3.8420858,0.94242483,0.00012199320681101486,0.0009580776086886882
ANGEL2,3.8412766,0.2872955,0.00012239611974780294,0.0009609625950798881
TTBK2,3.841207,0.2623579,0.000122430837462822,0.0009609625950798881
DIPK1B,3.840711,0.35975593,0.000122678470041478,0.0009626299689395287
RGL4,3.8397887,0.4943282,0.00012314023578324958,0.0009659761582698632
NCLN,3.8393624,0.14646827,0.00012335424687126713,0.0009673774691544798
ZBTB25,3.8369348,0.5681633,0.00012457949709111373,0.0009765645081993642
CDC123,3.8369,0.17400712,0.0001245971465335911,0.0009765645081993642
RTCB,3.8367174,0.14507155,0.00012468984478290532,0.0009770110302101227
PWWP2A,3.836404,0.16048805,0.0001248489073322367,0.0009779771469227573
EPC1,3.8360734,0.18018489,0.0001250170141829921,0.0009790135366117131
EIF2D,3.8352816,0.18318982,0.00012542045353810735,0.0009818917041090993
CACNB4,3.8333328,0.7342833,0.00012641876958859413,0.000989424062155036
IDH3G,3.8312707,0.15432185,0.00012748317547559265,0.0009974692178985856
