group,gene,label,cov_pct,rec_pct,HSPC,Myeloid,n_contrib_patients,clinical
PPAC_1,CSPG4,CSPG4,1.04,0.0,0.0,0.12,13,False
PPAC_1,CSPG5,CSPG5,0.2,0.0,0.0,0.12,13,False
PPAC_1,CTLA4,CTLA4,0.02,0.0,0.19,0.0,13,False
PPAC_1,CTNS,CTNS,7.22,0.0,5.38,3.38,13,False
PPAC_1,CUZD1,CUZD1,0.2,0.0,0.0,0.0,13,False
PPAC_1,CX3CR1,CX3CR1,3.03,0.0,0.19,1.81,13,False
PPAC_1,CXADR,CXADR,0.0,0.0,0.37,0.0,13,False
PPAC_1,CXCL16,CXCL16,0.72,0.0,0.74,1.33,13,False
PPAC_1,CXCR1,CXCR1,0.14,0.0,0.0,0.12,13,False
PPAC_1,CXCR2,CXCR2,0.41,0.0,0.19,1.69,13,False
PPAC_1,CXCR3,CXCR3,1.37,0.0,0.37,0.24,13,False
PPAC_1,CXCR5,CXCR5,0.18,0.0,0.0,0.36,13,False
PPAC_1,CXCR6,CXCR6,0.1,0.0,0.0,0.36,13,False
PPAC_1,CYSLTR2,CYSLTR2,5.4,0.0,0.56,0.6,13,False
PPAC_1,DAG1,DAG1,3.56,0.0,6.49,2.53,13,False
PPAC_1,DAGLA,DAGLA,0.2,0.0,0.19,1.21,13,False
PPAC_1,DCBLD1,DCBLD1,1.35,0.0,0.93,0.72,13,False
PPAC_1,DCBLD2,DCBLD2,1.6,0.0,8.35,1.57,13,False
PPAC_1,DCC,DCC,0.0,0.0,0.0,0.0,13,False
PPAC_1,DCHS1,DCHS1,1.9,0.0,2.78,0.12,13,False
PPAC_1,DCHS2,DCHS2,0.0,0.0,0.0,0.0,13,False
PPAC_1,DCSTAMP,DCSTAMP,0.7,0.0,0.37,0.0,13,False
PPAC_1,DCT,DCT,0.02,0.0,0.0,0.0,13,False
PPAC_1,DDR1,DDR1,0.1,0.0,0.37,0.84,13,False
PPAC_1,DDR2,DDR2,0.02,0.0,0.56,0.12,13,False
PPAC_1,DISP1,DISP1,2.48,0.0,1.67,0.6,13,False
PPAC_1,DISP2,DISP2,1.1,0.0,0.37,0.24,13,False
PPAC_1,DLK1,DLK1,1.33,0.0,4.82,0.0,13,False
PPAC_1,DLK2,DLK2,0.2,0.0,0.19,0.0,13,False
PPAC_1,DLL1,DLL1,0.65,0.0,0.56,0.0,13,False
PPAC_1,DLL3,DLL3,0.43,0.0,0.56,0.48,13,False
PPAC_1,DLL4,DLL4,0.02,0.0,0.19,0.12,13,False
PPAC_1,DNER,DNER,0.0,0.0,0.0,0.0,13,False
PPAC_1,DPEP1,DPEP1,4.54,7.69,0.0,0.0,13,False
PPAC_1,DPEP3,DPEP3,0.14,0.0,3.53,1.81,13,False
PPAC_1,DPP10,DPP10,2.35,0.0,2.41,0.24,13,False
PPAC_1,DPP4,DPP4,1.13,0.0,0.19,0.24,13,False
PPAC_1,DPP6,DPP6,0.02,0.0,0.0,0.0,13,False
PPAC_1,DRD2,DRD2,0.0,0.0,0.0,0.0,13,False
PPAC_1,DRD4,DRD4,0.57,0.0,0.19,0.36,13,False
PPAC_1,DSC1,DSC1,0.0,0.0,0.0,0.0,13,False
PPAC_1,DSC2,DSC2,7.28,7.69,0.56,0.24,13,False
PPAC_1,DSC3,DSC3,0.0,0.0,0.0,0.0,13,False
PPAC_1,DSCAML1,DSCAML1,0.0,0.0,0.0,0.0,13,False
PPAC_1,DSG3,DSG3,0.02,0.0,0.0,0.0,13,False
