res,cluster,n_cells,mean_jaccard,sd_jaccard,top_patient_frac,top_patient,n_patients,top_PAC
3.5,44,2515,0.3784619774243842,0.11436655198893665,0.17773359840954275,AML4304,29,FPAC_1:8%
3.5,45,1003,0.32244129958949974,0.20244152257462708,0.28913260219341974,AML3082,22,PPAC_2:3%
3.5,46,1014,0.37132743398929546,0.1352221053615375,0.4240631163708087,AML3121,25,PPAC_2:3%
3.5,47,2184,0.34663020133095956,0.15707897111389937,0.18727106227106227,AML4304,28,FPAC_1:13%
4.0,0,852,0.8802308421593585,0.029555711868973687,0.29577464788732394,0_HealthyBM2,22,PPAC_4:6%
4.0,1,541,0.888657327191997,0.0773154955336837,0.49168207024029575,0_HealthyBM2,13,PPAC_4:0%
4.0,2,1125,0.856754436491544,0.03648665237455234,0.1111111111111111,AML4304,30,PPAC_4:1%
4.0,3,1272,0.2552669205286315,0.052968837336728795,0.2775157232704403,AML4192,24,PPAC_3:71%
4.0,4,2505,0.34194460436264007,0.09022447238636469,0.20998003992015968,AML4304,28,PPAC_3:39%
4.0,5,817,0.6992511240877887,0.041753568598689644,0.31456548347613217,AML4271,26,PPAC_1:9%
4.0,6,49,0.20717052420944762,0.27408185326326756,0.6938775510204082,0_HealthyBM1,6,PPAC_3:10%
4.0,7,1808,0.6897499676114671,0.2080965811012112,0.12942477876106195,AML4035,30,PPAC_4:2%
4.0,8,989,0.8305780913579071,0.12483047521797544,0.07077856420626896,AML3492,29,PPAC_4:97%
4.0,9,2740,0.5825486198761363,0.1230579940884292,0.09160583941605839,AML335,30,FPAC_1:0%
4.0,10,938,0.8357825367279845,0.02698533329120336,0.835820895522388,AML4264,19,FPAC_2:92%
4.0,11,1721,0.5840358016038418,0.09901445629143593,0.47123765252760025,AML4000,29,PPAC_1:2%
4.0,12,2805,0.376811705735911,0.1252601657638532,0.1622103386809269,AML4304,30,PPAC_1:0%
4.0,13,755,0.7485324864735435,0.1547913426039204,0.9205298013245033,AML4232,16,PPAC_3:0%
4.0,14,597,0.6451914050049339,0.10968220006221532,0.7705192629815746,AML3210,22,FPAC_1:5%
4.0,15,1937,0.3379293023700261,0.10193117978366582,0.2472896231285493,AML1355,24,FPAC_1:64%
4.0,16,1475,0.5419370353640102,0.11959299489065739,0.23796610169491525,AML4000,22,FPAC_1:2%
4.0,17,1301,0.4539997021915113,0.10474815550900021,0.4796310530361261,AML3371,24,FPAC_1:7%
4.0,18,1157,0.46708231970540953,0.1346483739583968,0.2031114952463267,AML3082,24,FPAC_1:5%
4.0,19,1869,0.3789328669970803,0.11241995339034798,0.24291064740502943,AML3492,25,FPAC_1:78%
4.0,20,1876,0.40453671319798745,0.1010688650449078,0.2105543710021322,AML4304,26,FPAC_1:14%
4.0,21,1492,0.28647458678159987,0.034618102833874224,0.22184986595174264,AML1355,27,FPAC_1:6%
4.0,22,523,0.17779268531144643,0.06948368097358017,0.30401529636711283,AML4090,23,FPAC_1:34%
4.0,23,2515,0.6691385102757084,0.043962479474963234,0.17693836978131214,AML4363,30,PPAC_4:0%
4.0,24,731,0.4049214677092795,0.1207727179613205,0.3337893296853625,AML4226,28,PPAC_2:66%
4.0,25,2525,0.79590819057567,0.07073096751703854,0.37584158415841584,AML4271,23,PPAC_2:0%
4.0,26,2297,0.6626596367093975,0.1035260858688264,0.348280365694384,AML948,24,PPAC_1:90%
4.0,27,1559,0.7306078629028717,0.0939520112052839,0.5195638229634381,AML3210,27,PPAC_3:1%
4.0,28,1242,0.5708429876599842,0.09671281252614898,0.5410628019323671,AML3371,25,PPAC_1:64%
4.0,29,48,0.04104048152038911,0.025311468961274845,0.125,AML4068,16,FPAC_1:8%
4.0,30,1316,0.7680344855904737,0.05992767307028998,0.38677811550151975,AML4232,29,FPAC_1:0%
4.0,31,1283,0.7641561993417645,0.046594874766934434,0.21434138737334374,AML4271,24,PPAC_1:2%
4.0,32,1476,0.35160723035385416,0.1298128153393588,0.2953929539295393,AML4090,22,PPAC_1:72%
4.0,33,1137,0.4391914686373647,0.12442737052100397,0.4080914687774846,AML3121,24,PPAC_2:3%
4.0,34,1172,0.7537723107061614,0.06790883255496108,0.10921501706484642,AML4035,29,PPAC_4:82%
4.0,35,1002,0.6251999588158726,0.07173327326149595,0.2654690618762475,AML4226,29,PPAC_2:1%
