"LS","Description","p.adjust","term"
"LS_3","GOBP_RESPONSE_TO_ATP",0.0542333040561168,"response to atp"
"LS_3","GOBP_CHONDROCYTE_DEVELOPMENT",0.0548481709844718,"chondrocyte development"
"LS_3","GOBP_MEMBRANE_REPOLARIZATION_DURING_ACTION_POTENTIAL",0.0548481709844718,"membrane repolarization during action potential"
"LS_3","GOBP_NEGATIVE_REGULATION_OF_STEROL_TRANSPORT",0.0548481709844718,"negative regulation of sterol transport"
"LS_3","GOBP_CARTILAGE_DEVELOPMENT_INVOLVED_IN_ENDOCHONDRAL_BONE_MORPHOGENESIS",0.0548481709844718,"cartilage development involved in endochondral bone morphogenesis"
"LS_3","GOBP_EMBRYONIC_DIGESTIVE_TRACT_DEVELOPMENT",0.0548481709844718,"embryonic digestive tract development"
"LS_3","GOBP_NEGATIVE_REGULATION_OF_POTASSIUM_ION_TRANSPORT",0.0548481709844718,"negative regulation of potassium ion transport"
"LS_3","GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_MEDIATED_ENDOCYTOSIS",0.0548481709844718,"negative regulation of receptor mediated endocytosis"
"LS_3","GOBP_REGULATION_OF_MESENCHYMAL_CELL_PROLIFERATION",0.0548481709844718,"regulation of mesenchymal cell proliferation"
"LS_3","GOBP_HINDLIMB_MORPHOGENESIS",0.0560788868337819,"hindlimb morphogenesis"
"LS_3","GOBP_CARDIAC_ATRIUM_DEVELOPMENT",0.0563345992069183,"cardiac atrium development"
"LS_3","GOBP_CARDIAC_CONDUCTION_SYSTEM_DEVELOPMENT",0.0563345992069183,"cardiac conduction system development"
"LS_3","GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_8_PRODUCTION",0.0563345992069183,"negative regulation of interleukin 8 production"
"LS_3","GOBP_REGULATION_OF_PHOSPHOLIPID_METABOLIC_PROCESS",0.0563345992069183,"regulation of phospholipid metabolic process"
"LS_3","GOBP_REGULATION_OF_LIPOPROTEIN_PARTICLE_CLEARANCE",0.0567361757933134,"regulation of lipoprotein particle clearance"
"LS_3","GOBP_FATTY_ACID_METABOLIC_PROCESS",0.0567361757933134,"fatty acid metabolic process"
"LS_3","GOBP_POSITIVE_REGULATION_OF_POTASSIUM_ION_TRANSPORT",0.0567361757933134,"positive regulation of potassium ion transport"
"LS_3","GOBP_POSITIVE_REGULATION_OF_SMOOTHENED_SIGNALING_PATHWAY",0.0567361757933134,"positive regulation of smoothened signaling pathway"
"LS_3","GOBP_REGULATION_OF_LEUKOCYTE_ADHESION_TO_VASCULAR_ENDOTHELIAL_CELL",0.0567361757933134,"regulation of leukocyte adhesion to vascular endothelial cell"
"LS_3","GOBP_FORELIMB_MORPHOGENESIS",0.0567361757933134,"forelimb morphogenesis"
"LS_3","GOBP_POSITIVE_REGULATION_OF_BLOOD_CIRCULATION",0.0567361757933134,"positive regulation of blood circulation"
"LS_3","GOBP_POSITIVE_REGULATION_OF_FATTY_ACID_METABOLIC_PROCESS",0.0567361757933134,"positive regulation of fatty acid metabolic process"
"LS_3","GOBP_POSITIVE_REGULATION_OF_INSULIN_SECRETION_INVOLVED_IN_CELLULAR_RESPONSE_TO_GLUCOSE_STIMULUS",0.0567361757933134,"positive regulation of insulin secretion involved in cellular response to glucose stimulus"
"LS_3","GOBP_POSITIVE_REGULATION_OF_MAP_KINASE_ACTIVITY",0.0567361757933134,"positive regulation of map kinase activity"
"LS_3","GOBP_PYROPTOTIC_INFLAMMATORY_RESPONSE",0.0567361757933134,"pyroptotic inflammatory response"
"LS_3","GOBP_REGULATION_OF_CELLULAR_EXTRAVASATION",0.0567361757933134,"regulation of cellular extravasation"
"LS_3","GOBP_T_CELL_CYTOKINE_PRODUCTION",0.0567361757933134,"t cell cytokine production"
"LS_3","GOBP_REGULATION_OF_MEMBRANE_REPOLARIZATION",0.057838823249731,"regulation of membrane repolarization"
"LS_3","GOBP_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION",0.0589294069114801,"cardiac muscle cell membrane repolarization"
"LS_3","GOBP_MACROPHAGE_CHEMOTAXIS",0.0590988988554567,"macrophage chemotaxis"
"LS_3","GOBP_NEUTRAL_LIPID_CATABOLIC_PROCESS",0.0590988988554567,"neutral lipid catabolic process"
"LS_3","GOBP_PITUITARY_GLAND_DEVELOPMENT",0.0590988988554567,"pituitary gland development"
"LS_3","GOBP_REGULATION_OF_ACTIN_FILAMENT_BASED_MOVEMENT",0.0590988988554567,"regulation of actin filament based movement"
"LS_3","GOBP_MYOTUBE_CELL_DEVELOPMENT",0.0595558410199549,"myotube cell development"
"LS_3","GOBP_NEGATIVE_REGULATION_OF_OSSIFICATION",0.0595558410199549,"negative regulation of ossification"
"LS_3","GOBP_PROTEIN_CONTAINING_COMPLEX_REMODELING",0.0595558410199549,"protein containing complex remodeling"
"LS_3","GOBP_COLLAGEN_CATABOLIC_PROCESS",0.0602942424426006,"collagen catabolic process"
"LS_3","GOBP_REGULATION_OF_MUSCLE_ORGAN_DEVELOPMENT",0.0602942424426006,"regulation of muscle organ development"
"LS_3","GOBP_MUSCLE_TISSUE_DEVELOPMENT",0.0606168994655695,"muscle tissue development"
"LS_3","GOBP_OSSIFICATION",0.0608183181508811,"ossification"
"LS_3","GOBP_MESENCHYMAL_CELL_PROLIFERATION",0.0617262854857163,"mesenchymal cell proliferation"
"LS_3","GOBP_REGULATION_OF_TRIGLYCERIDE_METABOLIC_PROCESS",0.0617262854857163,"regulation of triglyceride metabolic process"
"LS_3","GOBP_ACYLGLYCEROL_HOMEOSTASIS",0.0627208842526144,"acylglycerol homeostasis"
"LS_3","GOBP_REGULATION_OF_MYOTUBE_DIFFERENTIATION",0.0637053210193062,"regulation of myotube differentiation"
