LS,LSn,LSC_Eppert,HSC,prognosis
LS27,27,0.16616902957450336,-0.13638402707407166,favorable
LS15,15,0.044462182418617074,-0.11558671930281895,ns
LS3,3,-0.002802325833228328,-0.05971820783415599,ns
LS30,30,-0.028692833937525836,-0.05189563219252168,ns
LS42,42,0.09534020393651346,-0.04623237891909643,ns
LS1,1,0.09388471550280181,0.01077835072804846,favorable
LS3,3,0.1104829376447881,0.023346966976369635,ns
LS42,42,0.21645930637036734,0.1082848613491112,ns
LS11,11,-0.03484871225117783,-0.09741696792666384,ns
LS24,24,0.06514980683222861,-0.04043039141882717,ns
LS37,37,-0.03248452837880664,-0.11225561085194831,ns
LS42,42,0.360849852203041,0.2615025259441923,ns
LS37,37,0.0372814150069547,0.008266419163763472,ns
LS1,1,0.09251846963458064,0.03538859988488824,favorable
LS37,37,0.08891539078032244,0.04219706339210054,ns
LS37,37,-0.019407158223991722,-0.13451277897031017,ns
LS37,37,-0.010615209196104897,-0.09512500204301778,ns
LS42,42,0.22908240045632156,0.12804944573945837,ns
LS42,42,0.269188966375098,0.14414387604902495,ns
LS30,30,0.0926116194513372,0.09864127368885584,ns
LS1,1,0.16694620604156163,0.025748400407589814,favorable
LS37,37,-0.021903819738093022,-0.0811630049270061,ns
LS42,42,0.31973482736188386,0.0826958287741495,ns
LS3,3,0.053578628401208084,-0.06875117539185147,ns
LS1,1,0.08001008466284631,0.07495856254031727,favorable
LS34,34,-0.04199613419189113,-0.2104842181983852,ns
LS23,23,0.18231817602552525,0.02766821415619694,ns
LS37,37,0.010070753978374813,-0.16673345613401325,ns
LS3,3,0.046277481891052547,-0.050758065826830595,ns
LS3,3,0.050463120865696945,-0.06603600410237971,ns
LS42,42,0.12249247338247915,0.05597031076456627,ns
LS17,17,-0.026388062634085496,0.058050435867661135,ns
LS11,11,0.07114587041803848,-0.06309232193057009,ns
LS30,30,-0.009917531356622211,-0.11261928670077144,ns
LS30,30,0.08933462359078961,-0.09448194942713782,ns
LS37,37,0.06508783351497477,-0.05854427820418537,ns
LS11,11,0.09756864553514116,-0.09716203070426857,ns
LS17,17,-0.06293831970660785,0.022214916741012683,ns
LS42,42,0.297295649517723,0.10820671595934117,ns
LS37,37,0.13934620767051206,-0.03918249002863469,ns
LS42,42,0.362914805573999,0.09131765715633056,ns
LS37,37,0.04457799744796648,-0.07980241182023302,ns
LS42,42,0.07502948518032079,-0.0574357514386207,ns
LS1,1,-0.04926412625519212,-0.048683220771566095,favorable
LS42,42,0.1680757781839384,0.0641559175538105,ns
LS42,42,0.2895086586623275,0.16774250254982842,ns
LS42,42,0.240698977150403,0.01822302691872474,ns
LS42,42,0.243269517265932,0.0737406798385411,ns
LS42,42,0.14137491668457164,0.08471258624201952,ns
LS42,42,0.2436553286165122,0.12387585282092137,ns
LS42,42,0.2071815250923655,0.10250453782292482,ns
LS37,37,0.08065918322138,-0.1216462053463915,ns
LS42,42,0.2818470500801955,0.11342689696399283,ns
LS38,38,0.19700014121216258,-0.0027393671499142958,ns
LS3,3,-0.009241853497854627,-0.0884550725067011,ns
LS42,42,0.33584936124613896,0.20032098965210202,ns
LS11,11,0.18661959795114388,-0.0012389609447620853,ns
LS42,42,0.045331898161554446,0.05720524250226698,ns
LS42,42,0.24662247103766563,0.10616438912989243,ns
LS37,37,0.018010871746272528,-0.12153721764130483,ns
LS1,1,0.10909865636749311,-0.06484270295338651,favorable
LS37,37,-0.028195923867553013,-0.05885069620671789,ns
LS42,42,0.26709772556453226,0.06400347387858235,ns
LS1,1,0.18431926818797173,0.12611813134835448,favorable
LS3,3,0.04843214638212806,-0.09603854382886048,ns
LS1,1,-0.011930789111368509,-0.059541467642684365,favorable
LS38,38,0.01974917154914263,-0.13386369606403153,ns
LS13,13,0.06727302557580034,-0.1489513863926753,ns
LS42,42,0.08628873506918866,0.01243152202207981,ns
LS33,33,0.08782606858473556,0.008562475720374212,ns
LS1,1,0.0005524753373879476,-0.07762167703157688,favorable
LS13,13,0.06407506189170145,-0.1342526902410478,ns
LS37,37,0.038873496843100847,-0.157566993106858,ns
LS3,3,0.1627741924882231,-0.0709094059517194,ns
LS3,3,0.10420768649445969,-0.0774792020789749,ns
LS1,1,0.023060510202580847,-0.005597286419837907,favorable
LS24,24,0.06359005368771486,-0.0029523292465941306,ns
LS42,42,0.14383403861164423,0.13864947282108148,ns
LS37,37,0.02592811289982655,-0.0660291951122277,ns
LS13,13,0.1190240479777725,-0.1784085617486681,ns
LS1,1,0.3057484044363455,-0.002992745212538575,favorable
LS42,42,0.13696275284574946,0.005634948223755071,ns
LS37,37,0.043611441823382446,-0.12544685550352497,ns
LS38,38,0.15077982508909415,-0.08571054098382731,ns
LS37,37,-0.05565306408726746,-0.13466979469714305,ns
LS37,37,0.04231705414483067,-0.06640664572357392,ns
LS42,42,0.30524398723777935,0.27827912257842913,ns
LS3,3,0.07531155611747613,-0.058308915014546284,ns
LS11,11,0.05293731226683121,-0.15610826831330915,ns
